Net_Metrekare,Brüt_Metrekare,Oda_Sayısı,Bulunduğu_Kat,Eşya_Durumu,Binanın_Yaşı,Isıtma_Tipi,Fiyat,Şehir,Binanın_Kat_Sayısı,Kullanım_Durumu,Yatırıma_Uygunluk,Takas,Tapu_Durumu,Banyo_Sayısı
115,175.0,4,3.0,0,25.0,7,1850000.0,0,4,0,1,1,1,1.0
55,70.0,2,6.0,0,0.0,7,700000.0,0,8,0,1,1,0,1.0
80,100.0,3,3.0,0,1.0,6,1450000.0,0,5,0,1,0,0,2.0
85,110.0,3,6.0,0,0.0,6,1450000.0,0,6,0,1,0,0,2.0
230,250.0,5,14.0,0,18.0,7,8450000.0,0,15,0,1,0,0,3.0
120,135.0,4,4.0,0,25.0,6,2100000.0,0,4,0,1,0,0,1.0
90,110.0,3,1.0,0,25.0,6,1450000.0,0,4,1,1,1,0,1.0
85,115.0,3,3.0,0,4.0,6,1590000.0,0,3,1,1,0,0,2.0
120,150.0,4,2.0,0,2.0,7,3100000.0,0,2,0,1,0,0,1.0
100,120.0,3,5.0,0,0.0,7,2449000.0,0,3,0,1,0,0,2.0
135,150.0,4,11.0,0,7.5,7,2195000.0,0,14,0,1,0,0,1.0
100,115.0,3,0.5,0,18.0,7,1925000.0,0,8,0,1,0,0,1.0
120,140.0,4,4.0,0,25.0,6,1599000.0,0,4,0,1,0,0,1.0
135,155.0,4,2.0,0,4.0,7,2725000.0,0,12,0,1,0,0,1.0
150,180.0,4,10.0,0,7.5,8,4089000.0,0,15,0,1,0,0,2.0
90,130.0,3,11.0,0,3.0,7,1800000.0,0,11,1,1,1,0,1.0
125,165.0,4,1.0,0,4.0,7,3189000.0,0,14,0,1,0,0,1.0
125,160.0,4,9.0,0,4.0,7,1950000.0,0,15,0,1,0,0,2.0
180,200.0,5,3.0,0,7.5,7,3000000.0,0,4,0,1,0,0,3.0
130,150.0,4,11.0,0,7.5,7,2095000.0,0,13,0,1,1,0,1.0
115,145.0,4,8.0,0,18.0,6,1799000.0,0,12,0,1,0,0,1.0
210,265.0,5,7.0,0,25.0,7,4500000.0,0,9,0,1,0,0,2.0
115,130.0,5,0.0,1,3.0,7,3700000.0,0,8,0,1,1,0,2.0
